                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.11452,                 0.9565,                0.18582,                0.15537,                0.88056,                0.99945,                      1,                  0.995,                  0.995,                0.99945,                      1,                  0.995,                0.85915,                0.11561,                0.67479,                0.05411,                0.18394,                0.15935,               0.005644,               0.005644,               0.005644
                     24,                0.12667,                 0.9008,                 0.1836,                0.16583,                0.88993,                0.99944,                      1,                  0.995,                  0.995,                0.99944,                      1,                  0.995,                0.86187,                0.10764,                0.67024,                0.06217,                0.17641,                0.15615,               0.005446,               0.005446,               0.005446
                     25,                0.12004,                0.85155,                 0.1769,                0.16122,                0.88396,                0.99945,                      1,                  0.995,                  0.995,                0.99945,                      1,                  0.995,                0.84474,                0.12404,                 0.7313,                0.05458,                0.18986,                0.18759,               0.005248,               0.005248,               0.005248
                     26,                0.11595,                0.86505,                0.17721,                0.16527,                0.89093,                0.99943,                      1,                  0.995,                  0.995,                0.99943,                      1,                  0.995,                0.82195,                0.11581,                0.79887,                0.06575,                0.15858,                0.17958,                0.00505,                0.00505,                0.00505
                     27,                0.10793,                0.89486,                0.17177,                0.14319,                 0.8878,                0.99946,                      1,                  0.995,                  0.995,                0.99946,                      1,                  0.995,                0.83497,                0.13035,                0.77481,                0.08225,                0.16125,                0.18109,               0.004852,               0.004852,               0.004852
                     28,                 0.1145,                0.92466,                0.17632,                   0.15,                0.87769,                0.99946,                      1,                  0.995,                0.99375,                0.99946,                      1,                  0.995,                0.81334,                0.13148,                0.82261,                0.05334,                0.18121,                0.19049,               0.004654,               0.004654,               0.004654
                     29,                0.10831,                0.83441,                0.17114,                0.14367,                0.88122,                0.99931,                      1,                  0.995,                0.99339,                0.99931,                      1,                  0.995,                0.85225,                0.12511,                0.70248,                0.07452,                 0.1536,                0.18486,               0.004456,               0.004456,               0.004456
                     30,                0.10842,                0.82488,                0.16933,                0.14978,                0.88231,                0.99921,                      1,                  0.995,                0.99457,                0.99921,                      1,                  0.995,                0.87621,                0.10862,                0.63405,                0.06284,                0.14227,                0.16108,               0.004258,               0.004258,               0.004258
                     31,                 0.1042,                0.81457,                0.16961,                0.14665,                0.87914,                0.99936,                      1,                  0.995,                  0.995,                0.99936,                      1,                  0.995,                0.89031,                  0.094,                0.59303,                0.06168,                0.12505,                0.14926,                0.00406,                0.00406,                0.00406
                     32,                0.10832,                0.79692,                  0.172,                0.14392,                 0.8849,                0.99944,                      1,                  0.995,                  0.995,                0.99944,                      1,                  0.995,                0.87822,                0.08458,                0.61212,                0.05952,                0.11383,                0.13563,               0.003862,               0.003862,               0.003862
                     33,                0.09873,                0.76788,                0.17014,                0.13457,                0.87989,                0.99945,                      1,                  0.995,                  0.995,                0.99945,                      1,                  0.995,                0.89735,                0.07286,                0.55016,                0.06001,                0.10769,                0.12722,               0.003664,               0.003664,               0.003664
