                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.09918,                 1.1781,                0.17068,                0.30383,                0.87851,                0.99032,                      1,                  0.995,                  0.995,                0.99032,                      1,                  0.995,                 0.8723,                0.11952,                  0.371,                0.05046,                0.27916,                0.15819,                 0.0919,                 0.0009,                 0.0009
                      1,                0.09775,                 1.0814,                0.16896,                 0.2637,                0.89234,                0.99033,                      1,                  0.995,                  0.995,                0.99033,                      1,                  0.995,                0.83724,                0.11906,                0.44307,                0.04867,                0.25561,                0.15769,               0.082806,              0.0018059,              0.0018059
                      2,                0.08811,                0.99433,                0.15017,                0.32479,                 0.8968,                0.98274,                      1,                  0.995,                  0.995,                0.98274,                      1,                  0.995,                0.87729,                0.08678,                0.36325,                0.04443,                0.29386,                0.14239,               0.073613,              0.0026129,              0.0026129
                      3,                 0.0885,                 1.2108,                0.18033,                0.30233,                0.88423,                0.99512,                      1,                  0.995,                  0.995,                0.99512,                      1,                  0.995,                0.86726,                0.09005,                0.40587,                0.04816,                0.14591,                0.15263,               0.064321,              0.0033208,              0.0033208
                      4,                0.09992,                 1.2173,                0.16976,                0.32437,                0.88464,                0.99238,                      1,                  0.995,                  0.995,                0.99238,                      1,                  0.995,                0.89144,                0.10838,                0.39325,                0.07086,                0.22259,                0.17078,                0.05493,              0.0039298,              0.0039298
                      5,                0.10193,                 1.1971,                0.15963,                0.28192,                 0.8412,                0.99714,                      1,                  0.995,                  0.995,                0.99714,                      1,                  0.995,                0.83164,                0.11578,                 0.4497,                0.07839,                0.16402,                0.18333,                0.04544,              0.0044398,              0.0044398
                      6,                 0.1044,                 1.2175,                0.17353,                0.29598,                0.86352,                0.99727,                      1,                  0.995,                  0.995,                0.99727,                      1,                  0.995,                0.81416,                0.14293,                0.46161,                0.08011,                0.16538,                0.21204,               0.035851,              0.0048507,              0.0048507
                      7,                0.11938,                 1.1364,                0.16493,                0.29013,                0.90322,                0.98879,                      1,                  0.995,                  0.995,                0.98879,                      1,                  0.995,                0.73507,                0.12494,                0.54109,                0.07521,                0.23577,                0.17753,               0.026163,              0.0051627,              0.0051627
                      8,                0.12382,                 1.2024,                0.17605,                0.30491,                0.86929,                0.99688,                      1,                  0.995,                  0.995,                0.99688,                      1,                  0.995,                0.83609,                0.10944,                0.42003,                0.06268,                0.17881,                0.15919,               0.016376,              0.0053756,              0.0053756
                      9,                 0.1113,                 1.0807,                0.18384,                 0.2539,                0.87944,                 0.9963,                      1,                  0.995,                  0.995,                 0.9963,                      1,                  0.995,                0.81393,                0.10771,                0.58275,                0.06758,                0.18325,                0.16329,              0.0064895,              0.0054896,              0.0054896
                     10,                0.11657,                0.94039,                 0.1463,                0.27109,                0.89368,                0.98383,                      1,                  0.995,                  0.995,                0.98383,                      1,                  0.995,                 0.8313,                0.10828,                0.44823,                0.07256,                0.30386,                0.16744,                0.00505,                0.00505,                0.00505
                     11,                0.13788,                 1.2478,                0.16981,                0.32104,                0.86263,                0.99442,                      1,                  0.995,                  0.995,                0.99442,                      1,                  0.995,                0.87606,                0.11953,                0.38886,                0.07288,                0.20873,                0.17161,                0.00505,                0.00505,                0.00505
                     12,                 0.1256,                0.92397,                0.15735,                0.29871,                0.88989,                0.99271,                      1,                  0.995,                  0.995,                0.99271,                      1,                  0.995,                0.88125,                 0.1188,                0.42951,                0.06473,                0.19117,                0.17095,               0.004555,               0.004555,               0.004555
                     13,                0.12946,                0.97455,                0.16258,                0.31781,                0.89119,                0.99718,                      1,                  0.995,                  0.995,                0.99718,                      1,                  0.995,                0.84225,                0.11222,                0.41838,                0.05382,                0.15533,                0.17055,                0.00406,                0.00406,                0.00406
                     14,                 0.1181,                0.97633,                0.17413,                0.27654,                0.88266,                0.99721,                      1,                  0.995,                  0.995,                0.99721,                      1,                  0.995,                0.87673,                0.11548,                0.37251,                0.04412,                0.17814,                0.18263,               0.003565,               0.003565,               0.003565
                     15,                0.11206,                0.94766,                0.17439,                0.28237,                0.89396,                0.99719,                      1,                  0.995,                  0.995,                0.99719,                      1,                  0.995,                0.82704,                0.11005,                0.42357,                0.04434,                0.15917,                0.18126,                0.00307,                0.00307,                0.00307
                     16,                0.10028,                0.91407,                0.17394,                0.27266,                0.88265,                0.99684,                      1,                  0.995,                  0.995,                0.99684,                      1,                  0.995,                0.84246,                 0.1024,                0.40815,                0.04413,                0.16748,                0.16872,               0.002575,               0.002575,               0.002575
                     17,                0.09999,                0.97635,                0.18623,                0.25108,                0.89335,                0.98293,                      1,                  0.995,                  0.995,                0.98293,                      1,                  0.995,                0.86055,                 0.1204,                 0.4006,                  0.047,                0.28929,                0.17764,                0.00208,                0.00208,                0.00208
                     18,                0.10338,                0.95333,                0.17662,                0.28778,                0.88293,                0.99352,                      1,                  0.995,                  0.995,                0.99352,                      1,                  0.995,                0.88269,                0.12723,                0.38544,                0.04828,                0.18278,                0.18057,               0.001585,               0.001585,               0.001585
                     19,                0.09258,                0.86865,                0.16149,                0.25335,                0.88005,                0.99437,                      1,                  0.995,                  0.995,                0.99437,                      1,                  0.995,                0.89186,                0.11925,                0.36856,                0.04862,                0.16997,                0.17427,                0.00109,                0.00109,                0.00109
