                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     10,                0.15058,                 1.1717,                0.19953,                0.30729,                 0.8989,                0.74287,                0.96246,                0.87148,                0.87113,                0.74287,                0.96246,                0.87148,                0.73917,                0.15792,                0.38553,                0.03851,                  26.13,                0.20464,               0.005545,               0.005545,               0.005545
                     11,                0.14308,                 1.0854,                0.19983,                0.29389,                0.89536,                0.60935,                      1,                0.93898,                0.93898,                0.60935,                      1,                0.93898,                0.78478,                 0.1467,                0.45792,                0.05823,                 30.547,                0.20658,                0.00505,                0.00505,                0.00505
                     12,                0.12993,                 1.0556,                0.19475,                0.28721,                 0.8913,                0.67166,                0.99317,                0.94246,                0.94019,                0.67166,                0.99317,                0.94246,                0.84492,                0.13917,                0.35558,                0.02964,                  34.72,                 0.1843,               0.004555,               0.004555,               0.004555
                     13,                0.12249,                0.96529,                0.19068,                0.27882,                0.88945,                0.68622,                0.98294,                0.94298,                0.94276,                0.68622,                0.98294,                0.94298,                0.77899,                0.12604,                0.42972,                0.02335,                 30.989,                0.18281,                0.00406,                0.00406,                0.00406
                     14,                0.11952,                0.87597,                0.17866,                 0.2557,                0.88861,                0.83257,                0.99659,                0.96497,                0.96483,                0.83257,                0.99659,                0.96497,                0.85077,                0.11543,                0.29069,                0.02903,                 22.959,                0.15745,               0.003565,               0.003565,               0.003565
                     15,                0.10744,                0.85957,                0.18447,                0.23879,                0.88824,                0.68688,                      1,                0.93366,                0.93347,                0.68688,                      1,                0.93366,                0.86243,                0.10466,                0.24955,                0.02547,                 34.478,                0.15699,                0.00307,                0.00307,                0.00307
                     16,                0.10048,                0.77773,                0.17589,                0.23531,                0.88572,                0.83459,                0.99659,                0.91421,                0.91413,                0.83459,                0.99659,                0.91421,                0.82964,                0.09993,                0.27054,                0.02433,                 18.821,                0.15843,               0.002575,               0.002575,               0.002575
                     17,                0.09419,                0.75721,                0.17381,                0.22278,                0.88159,                0.80789,                      1,                0.98117,                0.98113,                0.80789,                      1,                0.98117,                0.91534,                 0.0993,                0.25762,                0.02757,                 22.472,                0.14921,                0.00208,                0.00208,                0.00208
                     18,                 0.0829,                0.71095,                0.16508,                0.20475,                0.88056,                0.74813,                      1,                0.92748,                0.92747,                0.74813,                      1,                0.92748,                0.87411,                0.12896,                 0.2309,                0.02035,                 33.625,                 0.1854,               0.001585,               0.001585,               0.001585
                     19,                0.07648,                0.67784,                0.16488,                0.19539,                0.87952,                0.84168,                0.99659,                0.97955,                0.97944,                0.84168,                0.99659,                0.97955,                0.92057,                0.09869,                0.22312,                0.02349,                 19.927,                0.14374,                0.00109,                0.00109,                0.00109
