                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.19588,                 1.4951,                0.30311,                0.61857,                0.97859,                 0.7549,                0.78839,                0.85448,                0.85249,                 0.7549,                0.78839,                0.85455,                  0.637,                 0.2352,                0.61068,                0.10731,                   11.2,                0.43887,               0.070214,              0.0033095,              0.0033095
                      1,                0.18248,                 1.6141,                0.27725,                0.50668,                0.94979,                0.81668,                0.97312,                0.92804,                0.92617,                0.81668,                0.97312,                0.92804,                0.67376,                0.23179,                 0.6019,                0.08311,                 15.318,                0.36148,               0.039885,               0.006314,               0.006314
                      2,                  0.204,                 1.8283,                 0.2713,                0.45641,                0.94681,                0.78537,                0.94539,                0.92317,                0.90276,                0.78537,                0.94539,                0.92317,                0.38867,                0.22208,                 1.3104,                0.06059,                 12.761,                0.31847,              0.0092266,              0.0089885,              0.0089885
                      3,                0.21357,                 1.9333,                0.26095,                0.45056,                0.93848,                0.59956,                      1,                0.76377,                0.76331,                0.59138,                0.98635,                0.75311,                0.40801,                0.27111,                 1.1671,                0.08253,                 51.803,                0.35237,               0.008515,               0.008515,               0.008515
                      4,                0.20888,                 1.8063,                0.25282,                0.43093,                0.93038,                 0.6509,                0.97364,                0.80389,                0.80082,                 0.6509,                0.97364,                0.80389,                0.51501,                0.19263,                0.73965,                0.09318,                 23.388,                0.27082,               0.008515,               0.008515,               0.008515
                      5,                0.20464,                 1.7749,                0.24491,                0.41399,                0.93156,                0.67442,                0.89081,                0.79919,                0.79703,                0.67442,                0.89081,                0.79919,                0.58381,                0.22951,                0.91114,                 0.0884,                 22.982,                0.29514,                0.00802,                0.00802,                0.00802
                      6,                0.19633,                 1.6342,                0.24123,                0.40791,                0.92395,                0.80849,                 0.9727,                0.94644,                0.94644,                0.80849,                 0.9727,                0.94644,                  0.676,                0.18908,                0.90193,                0.06616,                 12.743,                0.23636,               0.007525,               0.007525,               0.007525
                      7,                0.17143,                 1.4369,                0.22878,                0.35393,                0.91245,                0.73452,                0.99317,                 0.9538,                 0.9538,                0.73452,                0.99317,                 0.9538,                0.76849,                0.14715,                0.60068,                0.05871,                 27.212,                0.21109,                0.00703,                0.00703,                0.00703
                      8,                0.16487,                 1.2914,                0.21642,                0.33286,                0.90576,                0.77286,                0.99869,                0.88457,                0.88454,                0.77286,                0.99869,                0.88457,                0.68417,                0.12412,                 0.5449,                0.04881,                 23.863,                0.18311,               0.006535,               0.006535,               0.006535
                      9,                0.15032,                 1.2855,                0.21249,                0.32968,                0.89791,                0.77614,                  0.994,                0.93669,                0.93669,                0.77354,                0.99094,                0.93318,                0.80407,                0.13483,                0.39634,                0.04437,                 13.892,                0.18589,                0.00604,                0.00604,                0.00604
