                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.09567,                 1.2707,                0.16553,                0.58109,                0.90266,                0.99704,                      1,                  0.995,                  0.995,                0.99704,                      1,                  0.995,                0.85104,                0.09989,                0.45278,                 0.0748,                0.20135,                0.14389,                 0.0937,                 0.0007,                 0.0007
                      1,                0.08598,                 1.1278,                0.19377,                0.43638,                0.88465,                0.82968,                      1,                0.96357,                0.96357,                0.82968,                      1,                0.96357,                0.82207,                0.10091,                0.44153,                0.05634,                0.69279,                0.14406,               0.086426,              0.0014257,              0.0014257
                      2,                0.08351,                 1.0958,                0.17713,                0.41927,                0.89163,                0.71928,                      1,                0.96373,                0.96373,                0.71928,                      1,                0.96373,                0.80513,                0.10296,                0.48868,                0.05171,                0.69369,                0.14264,               0.079072,              0.0020723,              0.0020723
                      3,                0.08536,                   1.07,                0.17425,                0.37554,                 0.9036,                0.85678,                      1,                  0.995,                  0.995,                0.85678,                      1,                  0.995,                0.84045,                0.10293,                0.48355,                0.05432,                0.46344,                0.14211,                0.07164,              0.0026396,              0.0026396
                      4,                0.09048,                0.95996,                0.18429,                0.37686,                0.88633,                 0.9485,                      1,                  0.995,                  0.995,                 0.9485,                      1,                  0.995,                0.83547,                 0.1034,                0.50057,                0.05873,                0.49825,                0.14084,               0.064128,              0.0031278,              0.0031278
                      5,                0.09287,                 1.0852,                0.16867,                0.36884,                0.89158,                0.97177,                      1,                  0.995,                  0.995,                0.97177,                      1,                  0.995,                0.83961,                0.09739,                0.51004,                0.03753,                 0.3262,                0.14549,               0.056537,              0.0035367,              0.0035367
                      6,                0.10135,                 1.0423,                0.16426,                0.35673,                 0.8837,                0.98594,                      1,                  0.995,                  0.995,                0.98594,                      1,                  0.995,                0.80127,                0.09148,                0.57383,                0.03735,                0.22719,                0.14907,               0.048867,              0.0038665,              0.0038665
                      7,                0.10965,                 1.0186,                0.15046,                0.38068,                0.87083,                0.99543,                      1,                  0.995,                  0.995,                0.99543,                      1,                  0.995,                0.84155,                0.07601,                0.44959,                0.04734,                0.12818,                0.13902,               0.041117,              0.0041171,              0.0041171
                      8,                0.11487,                0.89436,                0.14652,                0.35751,                0.89555,                0.99365,                      1,                  0.995,                  0.995,                0.99365,                      1,                  0.995,                0.87601,                0.08078,                0.38081,                0.04486,                0.15011,                0.13788,               0.033288,              0.0042884,              0.0042884
                      9,                 0.1079,                 1.0152,                0.16731,                0.35533,                0.89243,                0.98082,                      1,                  0.995,                  0.995,                0.98082,                      1,                  0.995,                0.80931,                0.09557,                 0.4909,                 0.0425,                0.28057,                0.14895,               0.025381,              0.0043806,              0.0043806
                     10,                0.11117,                0.83234,                 0.1508,                0.39132,                0.90178,                0.98773,                      1,                  0.995,                  0.995,                0.98773,                      1,                  0.995,                0.81959,                0.11619,                0.53685,                0.04101,                0.21768,                0.17164,               0.017394,              0.0043935,              0.0043935
                     11,                0.14037,                 1.0002,                0.16297,                0.37266,                0.87261,                0.97516,                      1,                  0.995,                  0.995,                0.97516,                      1,                  0.995,                0.83791,                0.11412,                0.48117,                0.03883,                0.41651,                0.17297,              0.0093273,              0.0043273,              0.0043273
                     12,                0.12065,                0.89785,                0.16027,                0.42157,                0.88286,                0.99388,                      1,                  0.995,                  0.995,                0.99388,                      1,                  0.995,                0.87846,                0.13564,                 0.4413,                0.04141,                0.23191,                0.17435,                0.00406,                0.00406,                0.00406
                     13,                 0.1042,                0.95301,                0.17262,                0.38682,                0.90424,                0.98241,                      1,                  0.995,                  0.995,                0.98241,                      1,                  0.995,                0.82005,                 0.1359,                0.45288,                0.05841,                0.26717,                 0.1781,                0.00406,                0.00406,                0.00406
                     14,                0.11423,                0.77342,                0.16173,                0.35586,                0.87272,                0.98857,                      1,                  0.995,                  0.995,                0.98857,                      1,                  0.995,                0.82064,                0.12705,                0.47933,                0.06939,                0.21899,                 0.1722,               0.003565,               0.003565,               0.003565
                     15,                0.11959,                0.91989,                 0.1661,                0.36844,                0.87029,                 0.9837,                      1,                  0.995,                  0.995,                 0.9837,                      1,                  0.995,                0.79569,                0.11901,                0.50998,                0.06765,                0.28803,                0.16414,                0.00307,                0.00307,                0.00307
                     16,                0.10584,                0.79264,                0.18667,                0.32154,                0.89021,                0.97637,                      1,                  0.995,                  0.995,                0.97637,                      1,                  0.995,                 0.8553,                0.12107,                 0.5056,                0.06933,                0.40706,                 0.1629,               0.002575,               0.002575,               0.002575
                     17,                0.11001,                0.66217,                0.17556,                0.33784,                0.89507,                0.99489,                      1,                  0.995,                  0.995,                0.99489,                      1,                  0.995,                0.86025,                0.11598,                0.47061,                0.06063,                0.19361,                0.15669,                0.00208,                0.00208,                0.00208
                     18,                0.10112,                0.78371,                0.16421,                0.32491,                0.88767,                0.99669,                      1,                  0.995,                  0.995,                0.99669,                      1,                  0.995,                0.82753,                0.11479,                0.44329,                0.05694,                0.15245,                 0.1497,               0.001585,               0.001585,               0.001585
                     19,                0.09361,                0.66748,                0.16508,                 0.3078,                0.88908,                0.99678,                      1,                  0.995,                  0.995,                0.99678,                      1,                  0.995,                0.82615,                0.10216,                0.41814,                 0.0557,                0.13753,                0.14106,                0.00109,                0.00109,                0.00109
