                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.27092,                 2.7402,                0.32809,                0.87714,                 1.0435,                0.66463,                      1,                0.72833,                0.71154,                0.66463,                      1,                0.72833,                0.51021,                0.44119,                0.84732,                0.18586,                0.91784,                 0.7064,                 0.0937,                 0.0007,                 0.0007
                      1,                0.24549,                 1.9388,                0.32882,                0.78445,                 1.0245,                0.66425,                      1,                0.71772,                0.71772,                0.66425,                      1,                0.71772,                0.46811,                0.34965,                0.85995,                 0.2192,                0.78034,                0.64207,               0.086426,              0.0014257,              0.0014257
                      2,                0.24524,                 1.8893,                0.31148,                0.75296,                 1.0307,                0.66469,                      1,                0.66333,                0.65669,                0.66469,                      1,                0.66333,                0.47558,                0.34262,                0.77191,                0.21184,                0.74104,                0.62363,               0.079072,              0.0020723,              0.0020723
                      3,                0.27363,                 1.6061,                0.31711,                0.72525,                 1.0632,                0.66531,                      1,                0.90657,                0.90331,                0.66531,                      1,                0.90657,                0.66048,                0.32169,                 0.7101,                0.24714,                0.68582,                0.61301,                0.07164,              0.0026396,              0.0026396
                      4,                0.22162,                 1.9527,                0.33765,                0.67657,                  1.016,                  0.686,                      1,                 0.7486,                 0.7486,                  0.686,                      1,                 0.7486,                0.44867,                0.32769,                0.94341,                0.24035,                0.67792,                0.57035,               0.064128,              0.0031278,              0.0031278
                      5,                0.22415,                 1.5882,                 0.3023,                0.66905,                 1.0107,                0.66646,                      1,                 0.9647,                0.90837,                0.66646,                      1,                 0.9647,                0.61936,                0.44809,                0.78639,                0.20118,                0.61057,                 0.5998,               0.056537,              0.0035367,              0.0035367
                      6,                0.22326,                 1.6357,                0.29775,                0.65148,                0.98846,                0.81908,                      1,                0.98921,                0.95734,                0.81908,                      1,                0.98921,                 0.5965,                0.33615,                0.95644,                0.22884,                0.61337,                0.57628,               0.048867,              0.0038665,              0.0038665
                      7,                0.21601,                 1.7376,                0.27498,                0.65466,                 0.9783,                0.77746,                      1,                0.98079,                0.98079,                0.77746,                      1,                0.98079,                0.41317,                0.27983,                 1.0942,                0.19938,                0.53827,                0.47942,               0.041117,              0.0041171,              0.0041171
                      8,                0.22336,                  1.534,                0.27405,                 0.6368,                0.99579,                      1,                0.97666,                  0.995,                  0.995,                      1,                0.97666,                  0.995,                0.62677,                0.18677,                0.89798,                 0.1393,                0.45749,                0.37334,               0.033288,              0.0042884,              0.0042884
                      9,                0.21097,                 1.5159,                0.29451,                 0.6341,                0.98099,                      1,                0.99177,                  0.995,                  0.995,                      1,                0.99177,                  0.995,                0.57718,                0.17362,                 1.0947,                0.10314,                0.46462,                0.33314,               0.025381,              0.0043806,              0.0043806
                     10,                0.18784,                 1.3546,                0.27301,                0.64215,                0.98557,                0.89102,                0.94444,                0.97959,                0.97589,                0.89102,                0.94444,                0.97959,                0.71914,                0.33726,                0.77557,                0.14592,                0.55541,                0.47377,               0.017394,              0.0043935,              0.0043935
                     11,                0.20632,                 1.7583,                0.28365,                0.58714,                0.95815,                0.80294,                0.90605,                0.96819,                0.96819,                0.75368,                0.85049,                0.87273,                0.34464,                0.51897,                 1.6495,                0.23019,                 0.4964,                0.69775,              0.0093273,              0.0043273,              0.0043273
                     12,                0.20246,                 1.5062,                0.28219,                0.62115,                 0.9596,                0.96447,                      1,                  0.995,                  0.995,                0.96447,                      1,                  0.995,                0.46067,                0.32865,                 1.3473,                0.16132,                0.51521,                0.49345,                0.00406,                0.00406,                0.00406
                     13,                0.20834,                 1.7019,                0.27931,                0.65805,                0.98809,                0.74111,                      1,                  0.995,                  0.995,                0.74111,                      1,                  0.995,                0.57076,                 0.3755,                 1.0534,                0.20882,                0.71228,                0.56309,                0.00406,                0.00406,                0.00406
                     14,                 0.1939,                  1.278,                0.28335,                0.55799,                 0.9355,                0.73364,                      1,                0.89017,                0.88591,                0.73364,                      1,                0.89017,                0.57453,                0.32609,                0.96777,                0.18114,                0.79531,                0.51923,               0.003565,               0.003565,               0.003565
                     15,                0.18336,                 1.4762,                0.27708,                0.54584,                0.93076,                0.89957,                      1,                  0.995,                  0.995,                0.89957,                      1,                  0.995,                0.73662,                0.22225,                0.69309,                0.16598,                0.42845,                0.40301,                0.00307,                0.00307,                0.00307
