                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5113,                  4.052,                0.58139,                  1.508,                 1.8734,                0.99171,                      1,                  0.995,                0.79197,                0.99171,                      1,                  0.995,                0.76482,                0.87211,                 1.0517,                0.57709,                0.42675,                 1.2899,                 0.0964,                 0.0004,                 0.0004
                      1,                 1.1461,                  2.869,                0.54535,                 1.1229,                 1.5561,                0.99663,                      1,                  0.995,                0.89485,                0.99663,                      1,                  0.995,                0.75245,                0.52347,                0.93998,                0.47013,                0.30642,                0.82618,               0.091855,             0.00085545,             0.00085545
                      2,                0.73942,                  2.909,                0.50224,                 0.8234,                 1.3816,                0.99796,                      1,                  0.995,                0.94883,                0.99796,                      1,                  0.995,                0.53062,                0.48871,                 1.6705,                0.43841,                0.38416,                 0.8151,               0.087261,              0.0012614,              0.0012614
                      3,                0.59996,                 2.4046,                0.42725,                0.64433,                  1.312,                0.99733,                      1,                  0.995,                0.97364,                0.99733,                      1,                  0.995,                0.71103,                0.40569,                 1.1161,                0.43854,                0.30433,                0.75253,               0.082618,              0.0016178,              0.0016178
                      4,                0.43609,                 2.0503,                0.40363,                0.48244,                 1.1817,                0.99699,                      1,                  0.995,                0.97775,                0.99699,                      1,                  0.995,                0.77542,                0.36216,                0.89482,                0.41756,                0.28435,                0.73943,               0.077925,              0.0019248,              0.0019248
                      5,                0.40064,                 1.7458,                0.38454,                0.43252,                 1.1598,                0.99677,                      1,                  0.995,                0.98887,                0.99677,                      1,                  0.995,                0.69605,                0.34311,                 1.1891,                0.42186,                 0.3045,                0.71127,               0.073182,              0.0021823,              0.0021823
                      6,                0.34799,                 1.6868,                0.37586,                0.40635,                 1.1112,                0.99621,                      1,                  0.995,                0.98656,                0.99621,                      1,                  0.995,                 0.7611,                 0.3456,                 1.0392,                0.40956,                0.32514,                0.70284,                0.06839,              0.0023902,              0.0023902
                      7,                0.34235,                 1.9102,                 0.3767,                0.35261,                 1.1006,                 0.9951,                      1,                  0.995,                0.98115,                 0.9951,                      1,                  0.995,                0.75928,                0.35924,                 1.0781,                0.39393,                0.33217,                0.70329,               0.063549,              0.0025486,              0.0025486
                      8,                0.32199,                 2.0732,                  0.398,                0.34254,                 1.0878,                 0.9966,                      1,                  0.995,                0.97669,                 0.9966,                      1,                  0.995,                0.42594,                0.34623,                 2.1591,                0.36398,                0.31879,                0.65205,               0.058658,              0.0026576,              0.0026576
                      9,                0.27466,                 2.0619,                0.39784,                0.33034,                 1.0493,                0.99631,                      1,                  0.995,                0.98737,                0.99631,                      1,                  0.995,                0.49158,                0.35816,                 1.9279,                0.33585,                 0.3349,                0.65277,               0.053717,              0.0027171,              0.0027171
