                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     10,                0.26717,                 1.7095,                0.34997,                0.31931,                 1.0026,                0.99659,                      1,                  0.995,                0.94996,                0.99659,                      1,                  0.995,                0.65156,                0.48835,                 1.3626,                0.28405,                0.37832,                0.72395,               0.048727,               0.002727,               0.002727
                     11,                0.24413,                 1.7697,                0.34421,                0.30011,                 1.0159,                0.99701,                      1,                  0.995,                0.98771,                0.99701,                      1,                  0.995,                 0.5831,                0.29856,                 1.5153,                0.29847,                0.28576,                0.56663,               0.043687,              0.0026875,              0.0026875
                     12,                 0.2431,                 1.6005,                0.34533,                0.28245,                 1.0043,                0.99707,                      1,                  0.995,                0.98777,                0.99707,                      1,                  0.995,                0.70595,                0.28754,                 1.0064,                0.29838,                0.28807,                0.57344,               0.038598,              0.0025984,              0.0025984
                     13,                0.23953,                 1.6472,                0.34937,                0.30125,                  1.019,                0.99699,                      1,                  0.995,                  0.995,                0.99699,                      1,                  0.995,                0.69166,                0.25879,                 1.2114,                0.30966,                  0.254,                0.56432,                0.03346,              0.0024598,              0.0024598
                     14,                0.22879,                 1.3552,                 0.3415,                0.27372,                0.99718,                0.99697,                      1,                  0.995,                  0.995,                0.99697,                      1,                  0.995,                0.67094,                0.30014,                 1.3585,                0.27922,                0.27041,                0.58704,               0.028272,              0.0022718,              0.0022718
                     15,                0.22243,                 1.4898,                0.32297,                0.27465,                0.98914,                0.99642,                      1,                  0.995,                  0.995,                0.99642,                      1,                  0.995,                0.81486,                0.31048,                0.82825,                0.26039,                0.30803,                0.60183,               0.023034,              0.0020343,              0.0020343
                     16,                0.19692,                 1.4544,                0.32363,                0.26379,                0.97758,                0.99631,                      1,                  0.995,                  0.995,                0.99631,                      1,                  0.995,                0.75701,                0.31144,                0.97558,                 0.2567,                0.29668,                0.56392,               0.017747,              0.0017472,              0.0017472
                     17,                0.22388,                 1.6195,                0.34514,                0.27738,                0.98919,                0.99707,                      1,                  0.995,                0.98995,                0.99707,                      1,                  0.995,                0.69109,                0.32782,                 1.2372,                0.25424,                0.28576,                 0.5661,               0.012411,              0.0014107,              0.0014107
                     18,                0.19191,                 1.4362,                0.31768,                0.25584,                0.97359,                0.99615,                      1,                  0.995,                0.95833,                0.99615,                      1,                  0.995,                0.81557,                0.36681,                0.87335,                0.24821,                0.30738,                0.60299,              0.0070246,              0.0010246,              0.0010246
                     19,                 0.2214,                 1.3334,                0.33401,                 0.2534,                0.98522,                  0.996,                      1,                  0.995,                0.96891,                  0.996,                      1,                  0.995,                0.82128,                0.36536,                0.81303,                0.24703,                0.30198,                0.61117,              0.0015891,             0.00058905,             0.00058905
